iter	Passed	Remaining
0	65	65444
1	143	71468
2	242	80743
3	340	84749
4	419	83506
5	546	90467
6	637	90467
7	706	87643
8	768	84656
9	821	81341
10	875	78675
11	935	77042
12	1001	76072
13	1089	76740
14	1168	76725
15	1244	76545
16	1321	76419
17	1393	76046
18	1462	75526
19	1534	75201
20	1619	75518
21	1684	74905
22	1760	74764
23	1831	74486
24	1918	74820
25	1980	74208
26	2036	73407
27	2122	73675
28	2190	73349
29	2255	72914
30	2318	72461
31	2377	71922
32	2428	71168
33	2497	70954
34	2569	70855
35	2630	70429
36	2694	70123
37	2782	70453
38	2849	70221
39	2918	70040
40	2974	69585
41	3041	69375
42	3128	69621
43	3194	69406
44	3253	69055
45	3327	69002
46	3394	68826
47	3458	68584
48	3525	68413
49	3590	68216
50	3663	68161
51	3735	68097
52	3796	67837
53	3879	67954
54	3954	67941
55	4044	68176
56	4129	68310
57	4198	68197
58	4275	68183
59	4345	68077
60	4400	67742
61	4452	67362
62	4514	67140
63	4570	66840
64	4637	66705
65	4691	66394
66	4752	66181
67	4810	65934
68	4880	65847
69	4953	65817
70	5031	65837
71	5102	65761
72	5171	65667
73	5241	65590
74	5296	65319
75	5358	65143
76	5397	64705
77	5470	64661
78	5551	64717
79	5628	64729
80	5691	64568
81	5763	64518
82	5818	64286
83	5879	64113
84	5971	64277
85	6057	64381
86	6130	64332
87	6192	64172
88	6257	64047
89	6318	63885
90	6385	63788
91	6458	63739
92	6535	63741
93	6633	63937
94	6724	64058
95	6805	64086
96	6877	64025
97	6959	64055
98	7046	64131
99	7131	64181
100	7207	64154
101	7300	64273
102	7376	64238
103	7463	64302
104	7550	64359
105	7619	64266
106	7704	64302
107	7779	64248
108	7837	64064
109	7897	63895
110	7950	63677
111	8018	63571
112	8093	63529
113	8151	63354
114	8213	63208
115	8276	63074
116	8339	62937
117	8397	62765
118	8479	62777
119	8553	62729
120	8622	62634
121	8699	62605
122	8762	62474
123	8828	62366
124	8887	62215
125	8960	62156
126	9031	62085
127	9108	62052
128	9179	61980
129	9249	61899
130	9318	61818
131	9377	61661
132	9436	61516
133	9497	61379
134	9563	61277
135	9633	61200
136	9727	61277
137	9781	61097
138	9845	60985
139	9918	60929
140	9994	60886
141	10060	60787
142	10118	60642
143	10176	60492
144	10235	60351
145	10296	60225
146	10360	60116
147	10416	59967
148	10499	59967
149	10557	59824
150	10608	59644
151	10681	59589
152	10771	59631
153	10872	59727
154	10934	59612
155	10994	59481
156	11051	59338
157	11121	59269
158	11191	59196
159	11253	59078
160	11327	59030
161	11405	59000
162	11494	59021
163	11583	59045
164	11645	58931
165	11714	58853
166	11793	58828
167	11855	58715
168	11938	58701
169	11992	58554
170	12050	58419
171	12104	58269
172	12169	58173
173	12245	58128
174	12307	58021
175	12379	57957
176	12450	57888
177	12532	57873
178	12599	57786
179	12700	57856
180	12761	57743
181	12839	57705
182	12907	57626
183	12972	57531
184	13045	57470
185	13130	57463
186	13204	57408
187	13279	57356
188	13353	57298
189	13416	57196
190	13485	57118
191	13563	57080
192	13628	56985
193	13707	56949
194	13789	56924
195	13865	56875
196	13939	56818
197	14017	56777
198	14107	56785
199	14165	56660
200	14246	56632
201	14318	56565
202	14381	56461
203	14466	56446
204	14544	56404
205	14607	56303
206	14710	56352
207	14777	56267
208	14845	56187
209	14937	56194
210	15010	56129
211	15072	56025
212	15126	55888
213	15195	55811
214	15270	55753
215	15365	55772
216	15468	55814
217	15550	55782
218	15608	55661
219	15682	55602
220	15741	55486
221	15793	55348
222	15856	55249
223	15918	55146
