iter	RMSE
0	0.9589656532
1	0.9467114225
2	0.9339134184
3	0.9224993648
4	0.9109817634
5	0.8985643228
6	0.8875561234
7	0.8761887173
8	0.8668784505
9	0.8553551304
10	0.8459640788
11	0.8357571726
12	0.8277991009
13	0.818954895
14	0.8113906294
15	0.803279992
16	0.7963903858
17	0.7904270584
18	0.7858632055
19	0.7797460668
20	0.775821857
21	0.771713187
22	0.7663770829
23	0.7610843647
24	0.7551505497
25	0.7507201612
26	0.7440405325
27	0.7380376408
28	0.7324965195
29	0.7291057062
30	0.7262080812
31	0.7217448775
32	0.7166200966
33	0.7121131307
34	0.7067176209
35	0.7046547553
36	0.699253183
37	0.6947632508
38	0.6925766208
39	0.6905471246
40	0.687901427
41	0.6834201058
42	0.6782715774
43	0.6768061015
44	0.6758042052
45	0.6745415633
46	0.6732589202
47	0.6720031314
48	0.6681097896
49	0.6662584759
50	0.6631582723
51	0.6595334372
52	0.6563331153
53	0.6530090035
54	0.6507007138
55	0.64806526
56	0.6449798546
57	0.6431982983
58	0.6405070698
59	0.6395838255
60	0.6379558025
61	0.6366889312
62	0.6347144848
63	0.6329709832
64	0.6309488835
65	0.6291454416
66	0.6271228813
67	0.6250595029
68	0.6240058055
69	0.6213740008
70	0.6204636707
71	0.6176458499
72	0.6155656404
73	0.6134493372
74	0.6117732573
75	0.6102569565
76	0.6101447748
77	0.6091551107
78	0.6068564828
79	0.6060277821
80	0.6043601236
81	0.6023909961
82	0.5999082818
83	0.5992566147
84	0.5980689952
85	0.5961989821
86	0.5939412586
87	0.5921208522
88	0.5906148124
89	0.5898913166
90	0.5887132652
91	0.5881698978
92	0.586887306
93	0.58628878
94	0.584131671
95	0.5834791225
96	0.5830235349
97	0.5822445163
98	0.5811077194
99	0.5792411229
100	0.5779191157
101	0.5764191001
102	0.5752538387
103	0.5741612427
104	0.5736802077
105	0.5724567896
106	0.5722133038
107	0.5715349204
108	0.5706868235
109	0.5699356943
110	0.5692486093
111	0.567700334
112	0.5670789816
113	0.5653540889
114	0.564890272
115	0.564442921
116	0.5637372275
117	0.5630504378
118	0.5620952064
119	0.5612570088
120	0.5600939279
121	0.5594277016
122	0.5590479142
123	0.5585581452
124	0.5579522787
125	0.55713363
126	0.5559791294
127	0.5551414483
128	0.5532786698
129	0.5528203942
130	0.5510785219
